"number","severity","package","ecosystem","manifest","relationship","scope","summary","cve","ghsa","opened","url"
170,"medium","axios","npm","package-lock.json","transitive","development","Axios: CRLF Injection in multipart/form-data body via unsanitized blob.type in formDataToStream","CVE-2026-42037","GHSA-445q-vr5w-6q77","2026-05-08T00:39:19Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/170"
169,"medium","axios","npm","package-lock.json","transitive","development","Axios: no_proxy bypass via IP alias allows SSRF","CVE-2026-42038","GHSA-m7pr-hjqh-92cm","2026-05-08T00:30:19Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/169"
168,"medium","axios","npm","package-lock.json","transitive","development","Axios: Invisible JSON Response Tampering via Prototype Pollution Gadget in `parseReviver`","CVE-2026-42044","GHSA-3w6x-2g7m-8v23","2026-05-08T00:23:47Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/168"
167,"high","axios","npm","package-lock.json","transitive","development","Axios: Prototype Pollution Gadgets - Response Tampering, Data Exfiltration, and Request Hijacking","CVE-2026-42033","GHSA-pf86-5x62-jrwf","2026-05-08T00:23:38Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/167"
166,"high","axios","npm","package-lock.json","transitive","development","Axios: Header Injection via Prototype Pollution","CVE-2026-42035","GHSA-6chq-wfr3-2hj9","2026-05-08T00:23:19Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/166"
165,"low","axios","npm","package-lock.json","transitive","development","Axios: Null Byte Injection via Reverse-Encoding in AxiosURLSearchParams","CVE-2026-42040","GHSA-xhjh-pmcv-23jw","2026-05-08T00:23:19Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/165"
163,"medium","ip-address","npm","package-lock.json","transitive","development","ip-address has XSS in Address6 HTML-emitting methods","CVE-2026-42338","GHSA-v2v4-37r5-5v8g","2026-05-07T00:00:46Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/163"
160,"medium","axios","npm","package-lock.json","transitive","development","Axios has a NO_PROXY Hostname Normalization Bypass that Leads to SSRF","CVE-2025-62718","GHSA-3p68-rc4w-qgx5","2026-04-17T07:17:45Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/160"
158,"medium","axios","npm","package-lock.json","transitive","development","Axios has Unrestricted Cloud Metadata Exfiltration via Header Injection Chain","CVE-2026-40175","GHSA-fvcv-3m26-pcqx","2026-04-16T01:26:14Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/158"
157,"medium","follow-redirects","npm","package-lock.json","transitive","runtime","follow-redirects leaks Custom Authentication Headers to Cross-Domain Redirect Targets","","GHSA-r4q5-vmmm-2653","2026-04-15T19:04:11Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/157"
